document,table,panel,row,col,token,claim_id,source,pipeline_script
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,Private equity investments identified,1,752,,I48.json:estimates.panelA_sample_flow.canonical_treated_file,i48_construct_validity.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,no pension record,1,168,C91,I48.json:estimates.panelA_sample_flow.drop_no_nps_link,i48_construct_validity.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,incomplete pre-deal window,1,120,C91a,I48.json:estimates.panelA_sample_flow.drop_insufficient_pre_window,i48_construct_validity.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,fewer than five insured employees,1,75,C91b,I48.json:estimates.panelA_sample_flow.drop_employment_lt5,i48_construct_validity.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,no eligible control cell,1,10,C91c,I48.json:estimates.panelA_sample_flow.drop_no_control_cell,i48_construct_validity.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,Baseline matched design,1,379,C97,I48.json:estimates.panelE_in_vs_out.included.median_employment (n),i48_construct_validity.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,"with  6 observed months in each window, target and a control (Table 2)",1,367,C2,I35.json:estimates.canonical.A1_hire_DiD.est (n),i35_canonical.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,"memo: conventional heterogeneity design, no state in the cell",1,301,,I48.json:estimates.panelC_exclusions.baseline.n,i48_construct_validity.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,with state-balanced controls (primary gradient),1,286,D01,I58.json:estimates.panelA_common_sample.balanced_full.observed (n),i58_design_audit.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,with all deal characteristics observed,1,180,C45,I40.json:estimates.panelB_36m_clustering.x.DiD (n),i40_salvage.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,with audited financial statements,1,147,C18,I04c.json:estimates.panelA_value_added.log_va|h1.DiD (n),i04c_valueadded.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,with complete pre-deal covariates (Panel D),1,366,,I37.json:n,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,"Matched control firms (5 per target, never treated)",1,"1,895",,constant (sample fact),
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,Firm-months in the hazard sample,1,"48,853",,I36.json:estimates.n_firm_months,i36_regression_table.py
