tag,old,new
T1C.lsize,| Log insured employment | [placeholder] | [placeholder] | [placeholder] |,| Log insured employment | 4.4418 | 4.3795 | +0.0538 |
T1C.grow,| Pre-deal employment growth | [placeholder] | [placeholder] | [placeholder] |,| Pre-deal employment growth | 0.0954 | 0.0795 | +0.0651 |
T1C.age,| Firm age | [placeholder] | [placeholder] | [placeholder] |,| Firm age | 16.5236 | 18.0995 | −0.1676 |
T1C.hr12,"| Hiring rate, months -12 to -1 | [placeholder] | [placeholder] | [placeholder] |","| Hiring rate, months -12 to -1 | 0.4362 | 0.4155 | +0.0624 |"
T1C.sep12,"| Separation rate, months -12 to -1 | [placeholder] | [placeholder] | [placeholder] |","| Separation rate, months -12 to -1 | 0.3521 | 0.3500 | +0.0075 |"
T1C.zsh12,"| Share of no-hire months, -12 to -1 | [placeholder] | [placeholder] | [placeholder] |","| Share of no-hire months, -12 to -1 | 0.2625 | 0.2928 | −0.1101 |"
T1C.S,"| Pre-deal hiring state, months -24 to -13 | [placeholder] | [placeholder] | [placeholder] |","| Pre-deal hiring state, months -24 to -13 | −0.3517 | −0.3431 | −0.0390 |"
S-denom,$E_i^{state}$ is [placeholder: exact employment denominator used in the estimation code],$E_i^{state}$ is mean insured employment over the same twelve state-window months (months -24 through -13)
p-main,"a two-sided empirical tail probability of [placeholder: two-sided empirical $p$-value from the 2,000 untreated",a two-sided empirical tail probability of 0.0005
p-formula,"[placeholder: state the exact finite-simulation tail formula used in the code, including treatment of the refe","The reported probability equals $(1+\#\{b:|g_b-\bar g|\ge|g^{obs}-\bar g|\})/(B+1)$, where $g_b$ are the $B=20"
T3.p,| Empirical two-sided $p$ | [placeholder] |,| Empirical two-sided $p$ | 0.0005 |
T4.hire,| Log hiring rate | 0.7101 | 0.1010 | $p=$[placeholder: two-sided] | 286 |,| Log hiring rate | 0.7101 | 0.1006 | 0.0005 | 286 |
T4.lN,| Log worker-entry count | 0.6315 | 0.1795 | [placeholder: standardized distance and two-sided $p$] | [placeho,| Log worker-entry count | 0.6315 | 0.1858 | +2.54; 0.0110 | 286 |
T4.lNc,"| Log worker-entry count, controlling for $\Delta$ log employment | 0.6957 | 0.0363 | [placeholder: standardiz","| Log worker-entry count, controlling for $\Delta$ log employment | 0.6957 | 0.0377 | +4.31; 0.0005 | 286 |"
T4.churn,| Log churn rate | 0.3816 | 3.08 | [placeholder] | 288 |,| Log churn rate | 0.3816 | +3.08 | 0.0020 | 288 |
T4.pair1,| Hiring - employment | 0.7536 | Mean 0.0232; standardized distance 4.56 | [placeholder] | 286 |,| Hiring - employment | 0.7536 | Mean 0.0232; standardized distance +4.56 | 0.0005 | 286 |
T4.pair2,| Churn - employment | 0.4539 | Standardized distance 4.19 | [placeholder] | [placeholder: same-event $N$] |,| Churn - employment | 0.4539 | Mean −0.0750; standardized distance +4.19 | 0.0005 | 288 |
6.2-fin,financial condition placeholder,"Across the audited pre-deal statements, none of the standardised financial measures predicts the hiring respon"
A.pre-zero,compared with [placeholder: verified employment-weighted benchmark] under the primary benchmark,compared with 2.58 under the primary benchmark
A.pre-spell,"Their longest no-entry spell averages 1.97 months, compared with [placeholder: verified benchmark]","Their longest no-entry spell averages 1.97 months, compared with 1.53"
A.pre-hhi,is 0.203 in the data and [placeholder: verified benchmark] under the allocation benchmark,is 0.203 in the data and 0.163 under the allocation benchmark
