document,line,section,number,kind,source,context
main,7,ABSTRACT,0.20,ledger,C32.value;C66.ci1;C79c.value,Research on private equity and employment has largely explained variation in post-transaction outcomes through
main,11,ABSTRACT,34,artifact,I01:estimates.deal_month_counts.2;I01:estimates.deal_month_counts.4;I02:runtime_s,"JEL classification: G34 , G24 , J23 , J63"
main,11,ABSTRACT,24,constant/count,,"JEL classification: G34 , G24 , J23 , J63"
main,11,ABSTRACT,23,artifact,I01:estimates.deal_month_counts.7;I01:estimates.deal_month_counts.10;I05:runtime_s,"JEL classification: G34 , G24 , J23 , J63"
main,11,ABSTRACT,63,artifact,I61:estimates.panelA_treated_path.q2.n_hi,"JEL classification: G34 , G24 , J23 , J63"
main,19,1. Introduction,379,constant/count,,We study this question using monthly Korean National Pension records linked to private equity investments iden
main,19,1. Introduction,286,constant/count,,We study this question using monthly Korean National Pension records linked to private equity investments iden
main,19,1. Introduction,+1,constant/count,,We study this question using monthly Korean National Pension records linked to private equity investments iden
main,19,1. Introduction,+12,constant/count,,We study this question using monthly Korean National Pension records linked to private equity investments iden
main,21,1. Introduction,0.7101,ledger,D01.value;D03b.value;D09.value,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,21,1. Introduction,95,constant/count,,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,21,1. Introduction,0.3187,ledger,E01h.ci0;C98e.ci0,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,21,1. Introduction,1.1254,ledger,E01h.ci1;C98e.ci1,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,21,1. Introduction,0,constant/count,,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,21,1. Introduction,0.0900,ledger,E01k.ci0,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,21,1. Introduction,0.3177,ledger,E01k.ci1,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,21,1. Introduction,22,ledger,G03b.value,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,21,1. Introduction,9,constant/count,,Firms that enter the transaction with lower hiring intensity subsequently increase hiring much more than firms
main,23,1. Introduction,"1,246",constant/count,,"Mean reversion cannot be assessed against a zero benchmark. We therefore apply the same matching, state constr"
main,23,1. Introduction,0.101,ledger,C5a.value;D01a.value;E01a.value,"Mean reversion cannot be assessed against a zero benchmark. We therefore apply the same matching, state constr"
main,23,1. Introduction,0.1538,ledger,E01b.value,"Mean reversion cannot be assessed against a zero benchmark. We therefore apply the same matching, state constr"
main,23,1. Introduction,0.6091,ledger,E01e.value,"Mean reversion cannot be assessed against a zero benchmark. We therefore apply the same matching, state constr"
main,23,1. Introduction,3.96,ledger,E01d.value,"Mean reversion cannot be assessed against a zero benchmark. We therefore apply the same matching, state constr"
main,25,1. Introduction,286,constant/count,,Balancing the pre-deal state changes the counterfactual rather than the pattern among treated firms. On the 28
main,25,1. Introduction,0.4698,ledger,D03.value,Balancing the pre-deal state changes the counterfactual rather than the pattern among treated firms. On the 28
